"","V1"
"1"," Azerbaijan"
"2","Canada"
"3","US"
"4","('St. Martin',)"
"5","Afghanistan"
"6","Albania"
"7","Algeria"
"8","Andorra"
"9","Mainland China"
"10","Antigua and Barbuda"
"11","Argentina"
"12","Armenia"
"13","Aruba"
"14","Australia"
"15","Austria"
"16","Azerbaijan"
"17","Bahamas, The"
"18","Bahrain"
"19","Bangladesh"
"20","Barbados"
"21","Germany"
"22","Belarus"
"23","Belgium"
"24","Benin"
"25","UK"
"26","Bhutan"
"27","Bolivia"
"28","Bosnia and Herzegovina"
"29","Brazil"
"30","Brunei"
"31","Bulgaria"
"32","Burkina Faso"
"33","Cambodia"
"34","Cameroon"
"35","Cayman Islands"
"36","Central African Republic"
"37","Chad"
"38","Channel Islands"
"39","Chile"
"40","Colombia"
"41","Congo (Brazzaville)"
"42","Congo (Kinshasa)"
"43","Costa Rica"
"44","Croatia"
"45","Others"
"46","Cuba"
"47","Curacao"
"48","Netherlands"
"49","Cyprus"
"50","Czech Republic"
"51","Denmark"
"52","Djibouti"
"53","Dominican Republic"
"54","Ecuador"
"55","Egypt"
"56","El Salvador"
"57","Equatorial Guinea"
"58","Estonia"
"59","Eswatini"
"60","Ethiopia"
"61","Faroe Islands"
"62","France"
"63","Fiji"
"64","Finland"
"65","French Guiana"
"66","Israel"
"67","Gabon"
"68","Gambia, The"
"69","Georgia"
"70","Ghana"
"71","Gibraltar"
"72","Greece"
"73","Greenland"
"74","Guadeloupe"
"75","Guam"
"76","Guatemala"
"77","Guernsey"
"78","Guinea"
"79","Guyana"
"80","Holy See"
"81","Honduras"
"82","Hong Kong"
"83","Hungary"
"84","Iceland"
"85","India"
"86","Indonesia"
"87","Iran"
"88","Iraq"
"89","Ireland"
"90","Italy"
"91","Ivory Coast"
"92","Jamaica"
"93","Japan"
"94","Jersey"
"95","Jordan"
"96","Kazakhstan"
"97","Kenya"
"98","Kosovo"
"99","Kuwait"
"100","Kyrgyzstan"
"101","Latvia"
"102","Lebanon"
"103","Liberia"
"104","Liechtenstein"
"105","Lithuania"
"106","Luxembourg"
"107","Macau"
"108","Malaysia"
"109","Maldives"
"110","Malta"
"111","Martinique"
"112","Mauritania"
"113","Mauritius"
"114","Mexico"
"115","Moldova"
"116","Monaco"
"117","Mongolia"
"118","Montenegro"
"119","Morocco"
"120","Namibia"
"121","Nepal"
"122","New Zealand"
"123","Nicaragua"
"124","Nigeria"
"125","North Ireland"
"126","North Macedonia"
"127","Norway"
"128","occupied Palestinian territory"
"129","Oman"
"130","Pakistan"
"131","Palestine"
"132","Panama"
"133","Paraguay"
"134","Peru"
"135","Philippines"
"136","Poland"
"137","Portugal"
"138","Puerto Rico"
"139","Qatar"
"140","Republic of Ireland"
"141","Republic of the Congo"
"142","Reunion"
"143","Romania"
"144","Russia"
"145","Rwanda"
"146","Saint Barthelemy"
"147","Saint Lucia"
"148","Saint Vincent and the Grenadines"
"149","San Marino"
"150","Saudi Arabia"
"151","Senegal"
"152","Serbia"
"153","Seychelles"
"154","Singapore"
"155","Slovakia"
"156","Slovenia"
"157","Somalia"
"158","South Africa"
"159","South Korea"
"160","Spain"
"161","Sri Lanka"
"162","St. Martin"
"163","Sudan"
"164","Suriname"
"165","Sweden"
"166","Switzerland"
"167","Taiwan"
"168","Tanzania"
"169","Thailand"
"170","The Bahamas"
"171","The Gambia"
"172","Togo"
"173","Trinidad and Tobago"
"174","Tunisia"
"175","Turkey"
"176","Ukraine"
"177","United Arab Emirates"
"178","Uruguay"
"179","Uzbekistan"
"180","Vatican City"
"181","Venezuela"
"182","Vietnam"
"183","Zambia"
